name,desc,last_30_d,last_90_d,last_year,build_error
gtk-chtheme,GTK+ 2.0 theme changer GUI,23,65,272,0
gtk-doc,GTK+ documentation tool,613,2086,8078,0
gtk-gnutella,Share files in a peer-to-peer (P2P) network,16,36,168,0
gtk-mac-integration,Integrates GTK macOS applications with the Mac desktop,8032,18842,53262,0
gtk-vnc,VNC viewer widget for GTK,812,2369,10378,0
gtk4,Toolkit for creating graphical user interfaces,267,367,367,0
gtk+,GUI toolkit,12595,36116,95632,0
gtk+3,Toolkit for creating graphical user interfaces,17984,66001,282472,0
gtkdatabox,Widget for live display of large amounts of changing data,23,106,296,0
gtkextra,Widgets for creating GUIs for GTK+,24,85,171,0
gtkglext,OpenGL extension to GTK+,1008,3079,11123,0
gtkmm,C++ interfaces for GTK+ and GNOME,2551,9281,16414,0
gtkmm3,C++ interfaces for GTK+ and GNOME,1576,4936,10074,0
gtkmm4,C++ interfaces for GTK+ and GNOME,30,53,53,0
gtksourceview,"Text view with syntax, undo/redo, and text marks",899,1917,4013,0
gtksourceview3,"Text view with syntax, undo/redo, and text marks",1111,3111,13424,0
gtksourceview4,"Text view with syntax, undo/redo, and text marks",2536,7935,39651,0
gtksourceviewmm,C++ bindings for gtksourceview,26,88,122,0
gtksourceviewmm3,C++ bindings for gtksourceview3,452,969,1489,0
gtkspell3,Gtk widget for highlighting and replacing misspelled words,194,559,2923,0
gtmess,Console MSN messenger client,0,1,5,0
gtranslator,GNOME gettext PO file editor,31,48,182,0
gts,GNU triangulated surface library,28302,81923,368975,0
gucharmap,"GNOME Character Map, based on the Unicode Character Database",11,26,144,0
guetzli,Perceptual JPEG encoder,81,236,1080,0
guichan,"Small, efficient C++ GUI library designed for games",1,1,7,0
guile,GNU Ubiquitous Intelligent Language for Extensions,219417,534330,1065563,0
guile@2,GNU Ubiquitous Intelligent Language for Extensions,536,1622,6334,0
gulp-cli,Command-line utility for Gulp,216,594,1433,0
gumbo-parser,C99 library for parsing HTML5,7,13,101,0
gupnp,Framework for creating UPnP devices and control points,96,261,1231,0
gupnp-av,Library to help implement UPnP A/V profiles,38,80,321,0
gupnp-tools,Free replacements of Intel's UPnP tools,46,117,607,0
gvp,Go versioning packager,3,4,28,0
gwenhywfar,Utility library required by aqbanking and related software,63,136,448,0
gws,Manage workspaces composed of git repositories,2,15,42,0
gwt,Google web toolkit,17,50,266,0
gwyddion,Scanning Probe Microscopy visualization and analysis tool,206,506,1483,0
gx,"Language-agnostic, universal package manager",22,81,1166,0
gx-go,Tool to use with the gx package manager for packages written in go,17,52,319,0
gxml,GObject-based XML DOM API,14,37,72,0
gzip,Popular GNU data compression program,1010,2976,12482,0
gzrt,Gzip recovery toolkit,16,37,116,0
h2,Java SQL database,248,807,3053,0
h264bitstream,Library for reading and writing H264 video streams,23,49,265,0
h2o,HTTP server with support for HTTP/1.x and HTTP/2,30,100,440,0
h2spec,Fast website link checker in Go,1,27,27,0
h3,Hexagonal hierarchical geospatial indexing system,38,142,792,0
hackrf,Low cost software radio platform,172,626,2224,0
hadolint,Smarter Dockerfile linter to validate best practices,3036,5810,16290,0
hadoop,Framework for distributed processing of large data sets,2113,5798,31207,0
halibut,Yet another free document preparation system,38,83,307,0
halide,"Language for fast, portable data-parallel computation",48,97,165,0
